ID	DOCULECT	LANGUAGE_FAMILY	CONCEPT	VALUE	FORM	TOKENS	BORROWED_SCORE	DONOR_LANGUAGE	DONOR_VALUE	SOURCE_LANGUAGE	SOURCE_ID
1830	Yaqui	Uto-Aztecan	ICE	sapam	sapam	s a p a m	0.0				
3266	ZinacantanTzotzil	Mayan	ICE	bot	bot	ɓ o tʰ	0.0				
3267	ZinacantanTzotzil	Mayan	ICE	taiv	taiv	t a i v	0.0				
4534	Qeqchi	Mayan	ICE	ke	ke	k e	0.0				
6317	Otomi	Otomanguean	ICE	tse̲	tse̲	ts æ	0.0				
8532	ImbaburaQuechua	Quechuan	ICE	rasu	rasu	ʐ a s u	0.0				
9689	Wichi	Matacoan	ICE	fwiy’et	fwiy’et	fʷ i j ʔ e t	0.0				
10929	Mapudungun	Araucanian	ICE	trangliñ	trangliñ	ʈʂ a ŋ l i ɲ	0.0				
1488	Spanish	Indo-European	IDEA	idea	idea	i ð e a					
1489	Spanish	Indo-European	IDEA	concepto	concepto	k o n s e p t o					
2990	Yaqui	Uto-Aztecan	IDEA	jitasa teuwa	jitasa_teuwa	j i t a s a + t e u w a	0.0				
5991	Qeqchi	Mayan	IDEA	na'leb'	na'leb'	n a ʔ l e ɓ	0.0				
8068	Otomi	Otomanguean	IDEA	mfeni	mfeni	m f e n i	0.0				
8069	Otomi	Otomanguean	IDEA	mpomuhñä	mpomuhñä	m p o m u h ɲ ɐ	0.0				
8070	Otomi	Otomanguean	IDEA	mpongumfeni	mpongumfeni	m p o n g u m f e n i	0.0				
9466	ImbaburaQuechua	Quechuan	IDEA	yuyay (1)	yuyay	j u j a j	0.0				
10683	Wichi	Matacoan	IDEA	totichunhayaj	totichunhayaj	t o t i tʃ u n̥ a j a x	0.0				
11951	Mapudungun	Araucanian	IDEA	zungu	zungu	z u ŋ u	0.0				
1760	Spanish	Indo-European	IDOL	ídolo	ídolo	i ð o l o					
6233	Qeqchi	Mayan	IDOL	jalam 'uuch	jalam_'uuch	x a l a m + ʔ uː tʃ	0.0				
8472	Otomi	Otomanguean	IDOL	tsita mahä'mu̲	tsita_mahä'mu̲	ts i t̪ a + m a h ɐ ˀm u	0.0				
10854	Wichi	Matacoan	IDOL	toch’’ayaj	toch’’ayaj	t o tʃ ʔ a j a x	0.0				
1529	Spanish	Indo-European	IF	si	si	s i					
3022	Yaqui	Uto-Aztecan	IF	-ko	-ko	k o	0.0				
4328	ZinacantanTzotzil	Mayan	IF	mi	mi	m i	0.0				
6026	Qeqchi	Mayan	IF	si'	si'	s i ʔ	1.0	Spanish	si	Spanish	1529
8132	Otomi	Otomanguean	IF	nu'bu̲	nu'bu̲	n u ˀb u	0.0				
8133	Otomi	Otomanguean	IF	nu'mu̲	nu'mu̲	n u ˀm u	0.0				
8134	Otomi	Otomanguean	IF	ha	ha	h a	0.0			Spanish	1529
9494	ImbaburaQuechua	Quechuan	IF	-kpi	-kpi	k p i	0.0				
10712	Wichi	Matacoan	IF	che	che	tʃ e	0.0				
1486	Spanish	Indo-European	IMITATE	imitar	imitar	i m i t a ɾ					
2988	Yaqui	Uto-Aztecan	IMITATE	mamato	mamato	m a m a t o	0.25			Spanish	1486
4300	ZinacantanTzotzil	Mayan	IMITATE	chanbe	chanbe	tʃʰ a n ɓ e	0.0				
5989	Qeqchi	Mayan	IMITATE	ech ajaatink	ech_ajaatink	e tʃ + a x aː t i n kʰ	0.0				
8064	Otomi	Otomanguean	IMITATE	fe̲ti	fe̲ti	f æ t̪ i	0.0				
9464	ImbaburaQuechua	Quechuan	IMITATE	katina (3)	katina	k a t i n a	0.0				
10681	Wichi	Matacoan	IMITATE	iten	iten	i t e n	0.0				
11949	Mapudungun	Araucanian	IMITATE	inawentun	inawentun	i n a w e n t u n	0.0				
1270	Spanish	Indo-European	IMMEDIATELY	en seguida	en_seguida	e n + s e ɣ i ð a					
1271	Spanish	Indo-European	IMMEDIATELY	inmediatamente	inmediatamente	i m m e ð j a t a m e n t e					
2822	Yaqui	Uto-Aztecan	IMMEDIATELY	jaleppana	jaleppana	j a l e p p a n a	0.0				
4153	ZinacantanTzotzil	Mayan	IMMEDIATELY	kahkah	kahkah	k a h k a h	0.0				
5772	Qeqchi	Mayan	IMMEDIATELY	aka’	aka’	a k a ʔ	0.0				
5773	Qeqchi	Mayan	IMMEDIATELY	koko	koko	k o k o	0.0				
5774	Qeqchi	Mayan	IMMEDIATELY	sa' junpaat	sa'_junpaat	s a ʔ + x u n p aː tʰ	0.0				
5775	Qeqchi	Mayan	IMMEDIATELY	tikto	tikto	t i k t o	0.0				
7801	Otomi	Otomanguean	IMMEDIATELY	ngut'ä	ngut'ä	n g u t̪ʼ ɐ	0.0				
7802	Otomi	Otomanguean	IMMEDIATELY	is ar ora'ä	is_ar_ora'ä	i s + a r + o r a ʔ ɐ	1.0	Spanish	ora		
9322	ImbaburaQuechua	Quechuan	IMMEDIATELY	ñapash	ñapash	ɲ a p a ʃ	0.0				
10540	Wichi	Matacoan	IMMEDIATELY	yukfwajkwewet	yukfwajkwewet	y u k fʷ a x kʷ e w e t	0.0				
11811	Mapudungun	Araucanian	IMMEDIATELY	pürüm	pürüm	p ɨ ɻ ɨ m	0.0				
1118	Spanish	Indo-European	IN FRONT OF	delantero	delantero	d e l a n t ɛ ɾ o					
1119	Spanish	Indo-European	IN FRONT OF	delante	delante	d e l a n t e					
2685	Yaqui	Uto-Aztecan	IN FRONT OF	bichapo	bichapo	b i tʃ a p o	0.0				
4036	ZinacantanTzotzil	Mayan	IN FRONT OF	7elav	7elav	ʔ e l a v	0.0				
4037	ZinacantanTzotzil	Mayan	IN FRONT OF	7ichonil	7ichonil	ʔ i tʃʰ o n i l	0.0				
5575	Qeqchi	Mayan	IN FRONT OF	chi ru	chi_ru	tʃ i + ɾ u	0.0				
7593	Otomi	Otomanguean	IN FRONT OF	'be̲t'o	'be̲t'o	ˀb æ t̪ʼ o	0.0				
7594	Otomi	Otomanguean	IN FRONT OF	'be̲t'o nu	'be̲t'o_nu	ˀb æ t̪ʼ o + n u	0.0				
7595	Otomi	Otomanguean	IN FRONT OF	ir mo̲te nu	ir_mo̲te_nu	i r + m ə t̪ e + n u	0.0				
9213	ImbaburaQuechua	Quechuan	IN FRONT OF	ñaupak	ñaupak	ɲ a u p a k	0.0				
10420	Wichi	Matacoan	IN FRONT OF	tataylo’	tataylo’	t a t a j l o ʔ	0.0				
11693	Mapudungun	Araucanian	IN FRONT OF	puñ mew	puñ_mew	p u ɲ + m e w	0.0				
11694	Mapudungun	Araucanian	IN FRONT OF	itrotripa	itrotripa	i ʈʂ o ʈʂ i p a	0.0				
1724	Spanish	Indo-European	INNOCENT	inocente	inocente	i n o s e n t e					
3167	Yaqui	Uto-Aztecan	INNOCENT	kaa inen ayukame	kaa_inen_ayukame	k aː + i n e n + a j u k a m e	0.0				
6198	Qeqchi	Mayan	INNOCENT	maak’a’ xmaak	maak’a’_xmaak	m aː kʼ a ʔ + ʃ m aː kʰ	0.0				
8421	Otomi	Otomanguean	INNOCENT	hogumui	hogumui	h o g u m u i	0.0				
8422	Otomi	Otomanguean	INNOCENT	hingi nts'oni	hingi_nts'oni	h i n g i + n tsʼ o n i	0.0				
9610	ImbaburaQuechua	Quechuan	INNOCENT	inusinti	inusinti	i n u s i n d i	1.0	Spanish	inocente	Spanish	1724
10836	Wichi	Matacoan	INNOCENT	lhajlatesa	lhajlatesa	lˠ a x l a t e s a	0.0				
289	Spanish	Indo-European	INSECT	insecto	insecto	i n s e k t o					
2006	Yaqui	Uto-Aztecan	INSECT	yoeria	yoeria	j o e r i a	0.0				
2007	Yaqui	Uto-Aztecan	INSECT	insekto	insekto	i n s e k t o	1.0	Spanish	insecto	Spanish	289
3416	ZinacantanTzotzil	Mayan	INSECT	chon	chon	tʃʰ o n	0.0				
4725	Qeqchi	Mayan	INSECT	insekto	insekto	i n s e k t o	1.0	Spanish	insecto	Spanish	289
6586	Otomi	Otomanguean	INSECT	zu'we	zu'we	z u ˀw e	0.0				
9835	Wichi	Matacoan	INSECT	makwu	makwu	m a kʷ u	0.0				
11120	Mapudungun	Araucanian	INSECT	püḻü	püḻü	p ɨ l̪ ɨ	0.0				
1120	Spanish	Indo-European	INSIDE	adentro	adentro	a ð e n t ɾ o					
1121	Spanish	Indo-European	INSIDE	dentro	dentro	d e n t ɾ o					
2686	Yaqui	Uto-Aztecan	INSIDE	wajiwa	wajiwa	w a j i w a	0.0				
4038	ZinacantanTzotzil	Mayan	INSIDE	`util	`util	ʔ u t i l	0.0				
5576	Qeqchi	Mayan	INSIDE	sa'	sa'	s a ʔ	0.0				
7596	Otomi	Otomanguean	INSIDE	nts’ogi	nts’ogi	n tsʼ o g i	0.0				
9214	ImbaburaQuechua	Quechuan	INSIDE	uku (1)	uku	u k u	0.0				
10421	Wichi	Matacoan	INSIDE	ikfwi	ikfwi	i k fʷ i	0.0				
11695	Mapudungun	Araucanian	INSIDE	ponwi	ponwi	p o n w i	0.0				
1514	Spanish	Indo-European	INTENTION	propósito	propósito	p ɾ o p o s i t o					
1515	Spanish	Indo-European	INTENTION	intención	intención	i n t e n s j o n					
3009	Yaqui	Uto-Aztecan	INTENTION	inie betchi’ibo	inie_betchi’ibo	i n i e + b e t tʃ i ʔ i b o	0.0				
6014	Qeqchi	Mayan	INTENTION	li rajb’al	li_rajb’al	l i + ɾ a x ɓ a l	0.0				
8105	Otomi	Otomanguean	INTENTION	mfeni	mfeni	m f e n i	0.0				
8106	Otomi	Otomanguean	INTENTION	hne	hne	h n e	0.0				
9483	ImbaburaQuechua	Quechuan	INTENTION	yuyay (1)	yuyay	j u j a j	0.0				
11972	Mapudungun	Araucanian	INTENTION	zuam	zuam	z u a m	0.0				
416	Spanish	Indo-European	INTESTINES	intestinos	intestinos	i n t ɛ s t i n o s					
417	Spanish	Indo-European	INTESTINES	tripas	tripas	t ɾ i p a s					
2126	Yaqui	Uto-Aztecan	INTESTINES	siiam	siiam	s iː a m	0.0				
3543	ZinacantanTzotzil	Mayan	INTESTINES	bikil	bikil	ɓ i k i l	0.0				
3544	ZinacantanTzotzil	Mayan	INTESTINES	tzo7	tzo7	tsʰ o ʔ	0.0				
4862	Qeqchi	Mayan	INTESTINES	k'amk'ot	k'amk'ot	k ʔ a m kʼ o tʰ	0.0				
4863	Qeqchi	Mayan	INTESTINES	sooyom	sooyom	s oː j o m	0.0				
6719	Otomi	Otomanguean	INTESTINES	xefo	xefo	x e f o	0.0				
8774	ImbaburaQuechua	Quechuan	INTESTINES	chunchuli	chunchuli	tʃ u n dʒ u l i	0.0				
9956	Wichi	Matacoan	INTESTINES	totkosley	totkosley	t o t k o s l e j	0.0				
11228	Mapudungun	Araucanian	INTESTINES	küllche	küllche	k ɨ ʎ tʃ e	0.0				
909	Spanish	Indo-European	IRON	hierro	hierro	ɟ ʝ ɛ r o					
2521	Yaqui	Uto-Aztecan	IRON	sisi’iwoki	sisi’iwoki	s i s i ʔ i w o k i	0.0				
5359	Qeqchi	Mayan	IRON	ch'iich'	ch'iich'	tʃʼ iː tʃʼ	0.0				
7330	Otomi	Otomanguean	IRON	bo̲jä	bo̲jä	b ə x ɐ	0.0				
7331	Otomi	Otomanguean	IRON	nzobujä	nzobujä	n z o b u x ɐ	0.0				
7332	Otomi	Otomanguean	IRON	nzät'u̲bo̲jä	nzät'u̲bo̲jä	n z ɐ t̪ʼ u b ə x ɐ	0.0				
9087	ImbaburaQuechua	Quechuan	IRON	jirru	jirru	x i ʐ u	1.0	Spanish	hierro		
10279	Wichi	Matacoan	IRON	lachinaj	lachinaj	l a tʃ i n a x	0.0				
16	Spanish	Indo-European	ISLAND	isla	isla	i s l a					
1781	Yaqui	Uto-Aztecan	ISLAND	chopo’oria	chopo’oria	tʃ o p o ʔ o r i a	0.0				
4480	Qeqchi	Mayan	ISLAND	xyampi ha’	xyampi_ha’	ʃ j a m p i + h a ʔ	0.0				
4481	Qeqchi	Mayan	ISLAND	ch’och’ sutsu chi ha’	ch’och’_sutsu_chi_ha’	tʃʼ o tʃʼ + s u ts u + tʃ i + h a ʔ	0.0				
6256	Otomi	Otomanguean	ISLAND	hai mbo dehe	hai_mbo_dehe	h a i + m b o + d e h e	0.0				
9651	Wichi	Matacoan	ISLAND	lhiletaj	lhiletaj	lˠ i l e t a x	0.0				
10875	Mapudungun	Araucanian	ISLAND	wapi	wapi	w a p i	0.0				
489	Spanish	Indo-European	ITCH	comezón	comezón	k o m e s o n					
2179	Yaqui	Uto-Aztecan	ITCH	elesikia	elesikia	e l e s i k i a	0.0				
3600	ZinacantanTzotzil	Mayan	ITCH	ch’ininul	ch’ininul	tʃʼ i n i n u l	0.0				
4936	Qeqchi	Mayan	ITCH	katzkatz	katzkatz	k a t z k a t z	0.0				
4937	Qeqchi	Mayan	ITCH	wotz'okil	wotz'okil	w o tsʼ o k i l	0.0				
6785	Otomi	Otomanguean	ITCH	nxähi	nxähi	n x ɐ h i	0.0				
6786	Otomi	Otomanguean	ITCH	nxäki	nxäki	n x ɐ k i	0.0				
6787	Otomi	Otomanguean	ITCH	nxä’i	nxä’i	n x ɐ ʔ i	0.0				
8818	ImbaburaQuechua	Quechuan	ITCH	shijshi	shijshi	ʃ i x ʃ i	0.0				
10001	Wichi	Matacoan	ITCH	afwtsaj	afwtsaj	a fʷ ts a x	0.0				
11275	Mapudungun	Araucanian	ITCH	üna	üna	ɨ n a	0.0				
349	Spanish	Indo-European	JAW	mandíbula	mandíbula	m a n d i β u l a					
2061	Yaqui	Uto-Aztecan	JAW	tabawasa’im	tabawasa’im	t a b a w a s a ʔ i m	0.0				
4795	Qeqchi	Mayan	JAW	rub'el e	rub'el_e	r u ɓ e l + e	0.0				
6650	Otomi	Otomanguean	JAW	‘yone	‘yone	ˀj o n e	0.0				
8717	ImbaburaQuechua	Quechuan	JAW	kashtuna	kashtuna	k a ʃ t u n a	0.0				
9897	Wichi	Matacoan	JAW	toch’ay lhile	toch’ay_lhile	t o tʃ ʔ a j + lˠ i l e	0.0				
11169	Mapudungun	Araucanian	JAW	trangatranga	trangatranga	ʈʂ a ŋ a ʈʂ a ŋ a	0.0				
663	Spanish	Indo-European	JEWEL	joya	joya	x o ʝ a					
2347	Yaqui	Uto-Aztecan	JEWEL	jooyam	jooyam	j oː j a m	1.0	Spanish	joya		
5123	Qeqchi	Mayan	JEWEL	q’ol	q’ol	q ʔ o l	0.0				
7006	Otomi	Otomanguean	JEWEL	oro	oro	o r o	1.0	Spanish	oro		
10131	Wichi	Matacoan	JEWEL	tohenettsek	tohenettsek	t o h e n e t t s e k	0.0				
1142	Spanish	Indo-European	JOIN	juntar	juntar	x u n t a ɾ					
1143	Spanish	Indo-European	JOIN	unir	unir	u n i ɾ					
2704	Yaqui	Uto-Aztecan	JOIN	nautoja	nautoja	n a u t o j a	0.0				
5595	Qeqchi	Mayan	JOIN	ch’utub’ank	ch’utub’ank	tʃʼ u t u ɓ a n kʰ	0.0				
5596	Qeqchi	Mayan	JOIN	laq’ab’ank	laq’ab’ank	l a qʼ a ɓ a n kʰ	0.0				
7631	Otomi	Otomanguean	JOIN	zo̲te	zo̲te	z ə t̪ e	0.0				
9228	ImbaburaQuechua	Quechuan	JOIN	tandachina (2)	tandachina	t a n d a tʃ i n a	0.0				
10442	Wichi	Matacoan	JOIN	yihethu	yihethu	y i h e tʰ u	0.0				
11711	Mapudungun	Araucanian	JOIN	trawülün	trawülün	ʈʂ a w ɨ l ɨ n	0.0				
1710	Spanish	Indo-European	JUDGE	juez	juez	x w e s					
3154	Yaqui	Uto-Aztecan	JUDGE	joes	joes	j o e s	1.0	Spanish	juez		
6184	Qeqchi	Mayan	JUDGE	raqol aatin	raqol_aatin	r a q o l + aː t i n	0.0				
8406	Otomi	Otomanguean	JUDGE	akute	akute	a k u t̪ e	0.0				
8407	Otomi	Otomanguean	JUDGE	ndembu nzaya	ndembu_nzaya	n d e m b u + n z a j a	0.0				
9600	ImbaburaQuechua	Quechuan	JUDGE	jwis	jwis	x w i s	1.0	Spanish	juez	Spanish	1710
10831	Wichi	Matacoan	JUDGE	jwes	jwes	xʷ e s	1.0	Spanish	juez	Spanish	1710
12081	Mapudungun	Araucanian	JUDGE	kues	kues	k u e s	1.0	Spanish	juez	Spanish	1710
1709	Spanish	Indo-European	JUDGMENT	juicio	juicio	x w i s j o					
3153	Yaqui	Uto-Aztecan	JUDGMENT	juisio	juisio	j u i s i o	1.0	Spanish	juicio		
6183	Qeqchi	Mayan	JUDGMENT	raqb'a' aatin	raqb'a'_aatin	r a q ɓ a ʔ + aː t i n	0.0				
8403	Otomi	Otomanguean	JUDGMENT	nt'e̲nt'i	nt'e̲nt'i	n t̪ʼ æ n t̪ʼ i	0.0				
8404	Otomi	Otomanguean	JUDGMENT	nthädi	nthädi	n θ ɐ d i	0.0				
8405	Otomi	Otomanguean	JUDGMENT	nts'u̲i	nts'u̲i	n tsʼ u i	0.0				
9599	ImbaburaQuechua	Quechuan	JUDGMENT	jwizhu	jwizhu	x w i ʒ u	1.0	Spanish	juicio	Spanish	1709
549	Spanish	Indo-European	JUG	cántaro	cántaro	k a n t a ɾ o					
550	Spanish	Indo-European	JUG	jarro	jarro	x a r o					
2233	Yaqui	Uto-Aztecan	JUG	picheel	picheel	p i tʃ eː l	1.0	English	pitcher		
2234	Yaqui	Uto-Aztecan	JUG	soto’i	soto’i	s o t o ʔ i	0.0				
3652	ZinacantanTzotzil	Mayan	JUG	rosa	rosa	ɾ o s a	1.0	Spanish	loza		
3653	ZinacantanTzotzil	Mayan	JUG	rosa p’in	rosa_p’in	ɾ o s a + pʼ i n	0.0				
5004	Qeqchi	Mayan	JUG	puk'xaar	puk'xaar	p u kʼ ʃ aː r	0.0				
5005	Qeqchi	Mayan	JUG	xaar	xaar	ʃ aː r	1.0	Spanish	jarro	Spanish	550
6871	Otomi	Otomanguean	JUG	xo̲ni (1)	xo̲ni	x ə n i	0.0				
6872	Otomi	Otomanguean	JUG	'bada	'bada	ˀb a d a	0.0				
8859	ImbaburaQuechua	Quechuan	JUG	jundu (1)	jundu	x u n d u	0.0			Spanish	549
10046	Wichi	Matacoan	JUG	tuwej	tuwej	t u w e x	0.0				
11320	Mapudungun	Araucanian	JUG	metawe	metawe	m e t a w e	0.0				
975	Spanish	Indo-European	JUMP	saltar	saltar	s a l t a ɾ					
976	Spanish	Indo-European	JUMP	brincar	brincar	b ɾ i n k a ɾ					
2572	Yaqui	Uto-Aztecan	JUMP	tubukte	tubukte	t u b u k t e	0.0				
2573	Yaqui	Uto-Aztecan	JUMP	chepte	chepte	tʃ e p t e	0.0				
3947	ZinacantanTzotzil	Mayan	JUMP	p’it	p’it	pʼ i tʰ	0.0				
5433	Qeqchi	Mayan	JUMP	pisk'ok	pisk'ok	p i s kʼ o kʰ	0.0				
5434	Qeqchi	Mayan	JUMP	pitzok	pitzok	p i t z o kʰ	0.0				
7420	Otomi	Otomanguean	JUMP	sa̲gi	sa̲gi	s ɔ g i	0.0				
7421	Otomi	Otomanguean	JUMP	sa̲ki	sa̲ki	s ɔ k i	0.0				
7422	Otomi	Otomanguean	JUMP	'nats'i	'nats'i	ˀn a tsʼ i	0.0				
7423	Otomi	Otomanguean	JUMP	sa̲ts'i	sa̲ts'i	s ɔ tsʼ i	0.0			Spanish	975
9126	ImbaburaQuechua	Quechuan	JUMP	fawana	fawana	ɸ a w a n a	0.0				
10319	Wichi	Matacoan	JUMP	tiyojpho	tiyojpho	t i j o x pʰ o	0.0				
10320	Wichi	Matacoan	JUMP	takatin	takatin	t a k a t i n	0.0				
10321	Wichi	Matacoan	JUMP	tiyojpe’	tiyojpe’	t i j o x p e ʔ	0.0				
11602	Mapudungun	Araucanian	JUMP	rüngkün	rüngkün	ɻ ɨ ŋ k ɨ n	0.0			Spanish	976
1056	Spanish	Indo-European	KEEP	conservar	conservar	k o n s ɛ ɾ β a ɾ					
1057	Spanish	Indo-European	KEEP	retener	retener	r ɛ t e n ɛ ɾ					
1058	Spanish	Indo-European	KEEP	guardar	guardar	g w a ɾ ð a ɾ					
2642	Yaqui	Uto-Aztecan	KEEP	jippue	jippue	j i p p u e	0.0				
3997	ZinacantanTzotzil	Mayan	KEEP	k’eh	k’eh	kʼ e h	0.0				
3998	ZinacantanTzotzil	Mayan	KEEP	nak’	nak’	n a kʼ	0.0				
5515	Qeqchi	Mayan	KEEP	xokok	xokok	ʃ o k o kʰ	0.0				
5516	Qeqchi	Mayan	KEEP	k'aak'alenk	k'aak'alenk	k ʔ aː kʼ a l e n kʰ	0.0				
7530	Otomi	Otomanguean	KEEP	tsuni	tsuni	ts u n i	0.0				
7531	Otomi	Otomanguean	KEEP	kwati	kwati	kʷ a t̪ i	0.0				
9173	ImbaburaQuechua	Quechuan	KEEP	allichina	allichina	a ʒ i tʃ i n a	0.0				
10377	Wichi	Matacoan	KEEP	yikanej	yikanej	y i k a n e x	0.0				
11652	Mapudungun	Araucanian	KEEP	niekan	niekan	n i e k a n	0.0				
542	Spanish	Indo-European	KETTLE	caldera	caldera	k a l d ɛ ɾ a					
2227	Yaqui	Uto-Aztecan	KETTLE	soto’i	soto’i	s o t o ʔ i	0.0				
2228	Yaqui	Uto-Aztecan	KETTLE	bwe’u soto’i	bwe’u_soto’i	bʷ e ʔ u + s o t o ʔ i	0.0				
6865	Otomi	Otomanguean	KETTLE	dätä tsant'i ts'oe	dätä_tsant'i_ts'oe	d ɐ t̪ ɐ + ts a n t̪ʼ i + tsʼ o e	0.0				
8854	ImbaburaQuechua	Quechuan	KETTLE	manga	manga	m a ŋ g a	0.0				
10041	Wichi	Matacoan	KETTLE	pawa	pawa	p a w a	1.0	Spanish	pava		
709	Spanish	Indo-European	KEY	llave	llave	ɟ ʝ a β e					
2378	Yaqui	Uto-Aztecan	KEY	yaabem	yaabem	j aː b e m	1.0	Spanish	llave		
3768	ZinacantanTzotzil	Mayan	KEY	yave	yave	j a v e	1.0	Spanish	llave		
5160	Qeqchi	Mayan	KEY	laaw	laaw	l aː w	1.0	Spanish	llave		
7054	Otomi	Otomanguean	KEY	nsogi	nsogi	ⁿs o g i	0.0				
7055	Otomi	Otomanguean	KEY	nsoki (bojä)	nsoki_(bojä)	ⁿs o k i + b o x ɐ	0.0				
8965	ImbaburaQuechua	Quechuan	KEY	llabi	llabi	ʒ a b i	1.0	Spanish	llave	Spanish	709
10160	Wichi	Matacoan	KEY	yawe	yawe	y a w e	1.0	Spanish	llave		
11430	Mapudungun	Araucanian	KEY	llafe	llafe	ʎ a f e	1.0	Spanish	llave		
977	Spanish	Indo-European	KICK	patear	patear	p a t e a ɾ					
2574	Yaqui	Uto-Aztecan	KICK	tetemu	tetemu	t e t e m u	0.0				
3948	ZinacantanTzotzil	Mayan	KICK	lik ta tek’el	lik_ta_tek’el	l i k + t a + t e kʼ e l	0.0				
3949	ZinacantanTzotzil	Mayan	KICK	puh ta tek’el	puh_ta_tek’el	pʰ u h + t a + t e kʼ e l	0.0				
5435	Qeqchi	Mayan	KICK	yeq'ok	yeq'ok	j e qʼ o kʰ	0.0				
5436	Qeqchi	Mayan	KICK	lapok chi oq	lapok_chi_oq	l a p o k + tʃ i + o qʰ	0.0				
5437	Qeqchi	Mayan	KICK	t'i'ok	t'i'ok	tʼ i ʔ o kʰ	0.0				
5438	Qeqchi	Mayan	KICK	xaab'ank	xaab'ank	ʃ aː ɓ a n kʰ	0.0				
7424	Otomi	Otomanguean	KICK	tit'i	tit'i	t̪ i t̪ʼ i	0.0				
9127	ImbaburaQuechua	Quechuan	KICK	jaitana	jaitana	x a i t a n a	0.0				
10322	Wichi	Matacoan	KICK	y’aj	y’aj	y ʔ a x	0.0				
11603	Mapudungun	Araucanian	KICK	mangkün	mangkün	m a ŋ k ɨ n	0.0				
227	Spanish	Indo-European	KID	cabrito	cabrito	k a β ɾ i t o					
1960	Yaqui	Uto-Aztecan	KID	ili chiba’ato	ili_chiba’ato	i l i + tʃ i b a ʔ a t o	0.0				
4670	Qeqchi	Mayan	KID	ral yuk	ral_yuk	r a l + j u kʰ	0.0				
6512	Otomi	Otomanguean	KID	t'olo t'äxi	t'olo_t'äxi	t̪ʼ o l o + t̪ʼ ɐ x i	0.0				
6513	Otomi	Otomanguean	KID	t'u̲ ndo̲t'äxi	t'u̲_ndo̲t'äxi	t̪ʼ u + n d ə t̪ʼ ɐ x i	0.0				
6514	Otomi	Otomanguean	KID	t'olo tsut'äxi	t'olo_tsut'äxi	t̪ʼ o l o + ts u t̪ʼ ɐ x i	0.0				
6515	Otomi	Otomanguean	KID	t'u̲ tsut'äxi	t'u̲_tsut'äxi	t̪ʼ u + ts u t̪ʼ ɐ x i	0.0				
8636	ImbaburaQuechua	Quechuan	KID	wawa chita	wawa_chita	w a w a + tʃ i t a	0.0				
9789	Wichi	Matacoan	KID	kaila lhos	kaila_lhos	k a i l a + lˠ o s	1.0	Spanish	cabra		
11082	Mapudungun	Araucanian	KID	pichi kapüra	pichi_kapüra	p i tʃ i + k a p ɨ ɻ a	1.0	Spanish	cabra		
412	Spanish	Indo-European	KIDNEY	riɲón	riɲón	r i ɲ o n					
2122	Yaqui	Uto-Aztecan	KIDNEY	sikupuriam	sikupuriam	s i k u p u r i a m	0.0				
3540	ZinacantanTzotzil	Mayan	KIDNEY	rinyon	rinyon	ɾ i n j o n	1.0	Spanish	riNo*n	Spanish	412
4860	Qeqchi	Mayan	KIDNEY	kenq'	kenq'	k e n qʼ	0.0				
6716	Otomi	Otomanguean	KIDNEY	riñu	riñu	r i ɲ u	1.0	Spanish	riñon	Spanish	412
8772	ImbaburaQuechua	Quechuan	KIDNEY	yana shungu (2)	yana_shungu	j a n a + ʃ u ŋ g u	0.0				
9953	Wichi	Matacoan	KIDNEY	tokatente	tokatente	t o k a t e n t e	0.0				
11225	Mapudungun	Araucanian	KIDNEY	kuzakuza	kuzakuza	k u z a k u z a	0.0				
11226	Mapudungun	Araucanian	KIDNEY	kushalkiñ	kushalkiñ	k u ʃ a l k i ɲ	0.0				
465	Spanish	Indo-European	KILL	matar	matar	m a t a ɾ					
2165	Yaqui	Uto-Aztecan	KILL	me’a	me’a	m e ʔ a	0.0				
2166	Yaqui	Uto-Aztecan	KILL	sua	sua	s u a	0.0				
3583	ZinacantanTzotzil	Mayan	KILL	mil	mil	m i l	0.0				
3584	ZinacantanTzotzil	Mayan	KILL	chames	chames	tʃʰ a m e s	0.0				
3585	ZinacantanTzotzil	Mayan	KILL	milvan	milvan	m i l v a n	0.0				
4919	Qeqchi	Mayan	KILL	kamsink	kamsink	k a m s i n kʰ	0.0				
6767	Otomi	Otomanguean	KILL	ho	ho	h o	0.0				
8805	ImbaburaQuechua	Quechuan	KILL	wañuchina	wañuchina	w a ɲ u tʃ i n a	0.0				
9988	Wichi	Matacoan	KILL	ilon	ilon	i l o n	0.0				
11260	Mapudungun	Araucanian	KILL	ḻangümün	ḻangümün	l̪ a ŋ ɨ m ɨ n	0.0				
1613	Spanish	Indo-European	KING	rey	rey	r e i					
1614	Spanish	Indo-European	KING	gobernante	gobernante	g o β ɛ ɾ n a n t e					
3091	Yaqui	Uto-Aztecan	KING	ya’ut	ya’ut	j a ʔ u t	0.0				
3092	Yaqui	Uto-Aztecan	KING	kobanaao	kobanaao	k o b a n aː o	0.0			Spanish	1614
4389	ZinacantanTzotzil	Mayan	KING	rey	rey	ɾ e j	1.0	Spanish	rey	Spanish	1613
6101	Qeqchi	Mayan	KING	ajaw	ajaw	a x a w	0.0				
8265	Otomi	Otomanguean	KING	ndä (2)	ndä	n d ɐ	0.0				
9556	ImbaburaQuechua	Quechuan	KING	apuk	apuk	a p u k	0.0				
10778	Wichi	Matacoan	KING	niyat	niyat	n i j a t	0.0				
